,0
0,7762
1,23269
2,2014
3,5947
4,33950
5,34088
6,8920
7,8985
8,12035
9,34445
10,34076
11,377
12,248
13,33190
14,18499
15,25537
16,33254
17,1486
18,321
19,16035
20,1830
21,33095
22,31221
23,34376
24,3501
25,31240
26,2154
27,15611
28,5984
29,29803
30,174
31,33034
32,25883
33,15109
34,11547
35,93
36,28817
37,21431
38,479
39,34034
40,1363
41,1168
42,1243
43,22789
44,30898
45,889
46,15201
47,33071
48,5150
49,4063
50,15711
51,27831
52,11161
53,35905
54,9750
55,3349
56,32934
57,13163
58,324
59,30379
60,1951
61,34662
62,3935
63,3288
64,7583
65,24625
66,452
67,8516
68,17397
69,8115
70,35114
71,31280
72,55
73,28825
74,790
75,32698
76,2489
77,30250
78,20533
79,670
80,4752
81,21599
82,21521
83,24687
84,14837
85,10389
86,34126
87,6707
88,12149
89,1051
90,2695
91,12055
92,9934
93,18851
94,855
95,19685
96,2580
97,2759
98,1069
99,1886
100,6791
101,32901
102,31845
103,24471
104,21353
105,1526
106,9130
107,23579
108,1397
109,11313
110,6743
111,8619
112,2562
113,33248
114,33372
115,31710
116,18449
117,33983
118,30778
119,8142
120,33729
121,2576
122,34012
123,1316
124,1412
125,4591
126,5391
127,2135
128,23711
129,30694
130,3840
131,4189
132,16528
133,5593
134,18055
135,10033
136,4037
137,9731
138,12021
139,1095
140,27
141,138
142,9761
143,20457
144,35714
145,2472
146,7579
147,5030
148,19051
149,24031
150,352
151,3467
152,2798
153,31051
154,722
155,33524
156,3588
157,13333
158,34374
159,12753
160,14407
161,221
162,32013
163,1836
164,31580
165,967
166,7745
167,936
168,15565
169,23319
170,9367
171,29854
172,33204
173,31174
174,7338
175,6772
176,10447
177,4664
178,30736
179,552
180,12223
181,35220
182,5205
183,879
184,343
185,23427
186,30912
187,1531
188,10079
189,21679
190,10928
191,19159
192,24371
193,6555
194,2424
195,34626
196,17947
197,1252
198,10087
199,8440
200,2281
201,14741
202,7897
203,1149
204,813
205,8086
206,2157
207,8475
208,31621
209,22539
210,11813
211,958
212,32108
213,4985
214,31706
215,385
216,10259
217,5211
218,22763
219,1019
220,21863
221,27631
222,31704
223,7062
224,2163
225,6512
226,851
227,1887
228,28617
229,32553
230,320
231,9656
232,30831
233,579
234,13667
235,21039
236,16353
237,29865
238,593
239,2608
240,50
241,710
242,1555
243,390
244,33363
245,34392
246,31914
247,3439
248,1225
249,17371
250,655
251,8857
252,3673
253,23233
254,34881
255,35262
256,489
257,31665
258,33489
259,1969
260,11441
261,885
262,7744
263,181
264,28025
265,35498
266,6344
267,20141
268,209
269,1259
270,10491
271,1629
272,33690
273,33834
274,1532
275,16397
276,6425
277,9989
278,12471
279,1140
280,19363
281,25117
282,6127
283,2036
284,459
285,10790
286,6351
287,14765
288,13201
289,814
290,25777
291,28221
292,21067
293,125
294,16614
295,1301
296,23423
297,25345
298,5074
299,18679
300,30300
301,299
302,21329
303,5902
304,29067
305,4362
306,849
307,1546
308,31452
309,3036
310,6071
311,5678
312,34375
313,415
314,22663
315,30016
316,296
317,1892
318,1152
319,2942
320,8228
321,1710
322,32595
323,3270
324,23703
325,3010
326,1072
327,4398
328,1686
329,35247
330,1000
331,1050
332,4918
333,16009
334,25013
335,27727
336,18195
337,35557
338,1004
339,2147
340,2313
341,460
342,9379
343,477
344,407
345,328
346,8241
347,30123
348,3791
349,10302
350,636
351,31319
352,32563
353,136
354,2023
355,2092
356,785
357,32937
358,9204
359,9523
360,201
361,4535
362,9000
363,1232
364,16608
365,32542
366,8769
367,902
368,8675
369,33337
370,1364
371,219
372,31772
373,3841
374,1372
375,2829
376,26441
377,5945
378,12321
379,5251
380,331
381,14293
382,1084
383,1941
384,31715
385,24459
386,5670
387,23227
388,10464
389,33019
390,7858
391,28351
392,31540
393,34751
394,880
395,18179
396,554
397,17325
398,2789
399,30296
400,182
401,780
402,31117
403,2185
404,10808
405,17389
406,34966
407,6444
408,9091
409,16700
410,15005
411,6024
412,6324
413,28149
414,133
415,3165
416,10500
417,1721
418,105
419,1498
420,18661
421,165
422,28779
423,3965
424,329
425,1365
426,8022
427,9963
428,10445
429,3138
430,22673
431,10507
432,8560
433,2554
434,22535
435,750
436,7082
437,177
438,8197
439,9925
440,2703
441,194
442,2827
443,812
444,30543
445,31952
446,21667
447,17074
448,601
449,32930
450,974
451,550
452,31157
453,944
454,75
455,17247
456,34606
457,34602
458,5681
459,678
460,335
461,2398
462,34134
463,35248
464,403
465,1008
466,2132
467,6987
468,1218
469,585
470,1303
471,35842
472,623
473,10350
474,32878
475,9741
476,15735
477,6691
478,15
479,15411
480,13601
481,4038
482,34480
483,58
484,7304
485,31646
486,24973
487,3707
488,1003
489,25879
490,457
491,33075
492,433
493,16868
494,5333
495,15891
496,659
497,9465
498,6809
499,2277
500,5978
501,13303
502,25755
503,21437
504,2324
505,149
506,8964
507,28851
508,96
509,6880
510,413
511,731
512,984
513,35676
514,4246
515,24821
516,4983
517,10067
518,22465
519,617
520,32153
521,6408
522,7088
523,14663
524,8098
525,19759
526,9355
527,31904
528,934
529,10444
530,24629
531,34368
532,1049
533,13203
534,19811
535,31478
536,106
537,3125
538,2126
539,31788
540,7550
541,23333
542,431
543,17895
544,15863
545,2488
546,438
547,8190
548,16123
549,9737
550,7053
551,10717
552,29852
553,23735
554,3389
555,19163
556,14653
557,1469
558,3292
559,7568
560,6581
561,389
562,5454
563,34712
564,12293
565,11179
566,14075
567,8348
568,53
569,9331
570,3653
571,22689
572,12053
573,32360
574,31163
575,1578
576,23225
577,25567
578,21405
579,1530
580,10720
581,10863
582,19367
583,1807
584,5386
585,173
586,6030
587,557
588,3046
589,30437
590,564
591,1156
592,161
593,11339
594,1203
595,10807
596,3656
597,8068
598,4898
599,16762
600,43
601,2744
602,20479
603,2110
604,208
605,6586
606,35678
607,29758
608,4789
609,3713
610,9839
611,14289
612,22865
613,3654
614,5034
615,5957
616,8100
617,19257
618,1196
619,759
620,89
621,3895
622,3318
623,635
624,32083
625,30344
626,134
627,3127
628,875
629,29301
630,27821
631,5671
632,30991
633,5781
634,23279
635,5762
636,26243
637,1891
638,4876
639,16005
640,31433
641,33274
642,2144
643,854
644,99
645,3771
646,13239
647,10893
648,202
649,4794
650,3786
651,9922
652,13367
653,25045
654,2582
655,1030
656,910
657,20853
658,499
659,376
660,435
661,6919
662,13709
663,6948
664,19489
665,11979
666,1484
667,21797
668,5079
669,16067
670,5355
671,34100
672,33241
673,1731
674,2073
675,11759
676,7857
677,32828
678,1760
679,4999
680,7375
681,9611
682,7805
683,10589
684,239
685,30895
686,34934
687,24701
688,3230
689,17513
690,23133
691,3394
692,9014
693,4540
694,32574
695,3616
696,1818
697,19855
698,34636
699,9488
700,1202
701,4166
702,34399
703,17269
704,8422
705,10209
706,1606
707,588
708,430
709,33338
710,31283
711,15911
712,1708
713,2924
714,27907
715,20849
716,442
717,14027
718,1604
719,907
720,33541
721,3594
722,2321
723,7270
724,33852
725,21939
726,87
727,528
728,11981
729,35321
730,3247
731,31821
732,3088
733,671
734,10801
735,372
736,33558
737,483
738,963
739,7366
740,10690
741,12815
742,32313
743,17743
744,6951
745,17395
746,8756
747,2936
748,4192
749,35320
750,5530
751,32262
752,8101
753,4565
754,2559
755,32245
756,30614
757,6802
758,2531
759,9618
760,111
761,32274
762,16143
763,34494
764,1698
765,17901
766,1829
767,31223
768,34055
769,18429
770,287
771,580
772,14629
773,9202
774,14175
775,2131
776,10918
777,22955
778,31553
779,32202
780,34792
781,1517
782,130
783,22429
784,17725
785,2971
786,541
787,5258
788,834
789,123
790,65
791,12879
792,1825
793,6286
794,11761
795,627
796,4454
797,32175
798,755
799,982
800,10531
801,11491
802,2251
803,7311
804,5351
805,1581
806,23151
807,33012
808,6149
809,504
810,9883
811,1747
812,1504
813,916
814,6985
815,870
816,17535
817,11001
818,33929
819,81
820,5279
821,12461
822,3627
823,62
824,3577
825,21189
826,35823
827,34742
828,8476
829,6165
830,1559
831,13379
832,1
833,11385
834,1274
835,34102
836,31065
837,1347
838,408
839,30524
840,31848
841,548
842,32863
843,8479
844,1277
845,525
846,30230
847,33046
848,1182
849,11783
850,4028
851,380
852,8097
853,1148
854,523
855,1110
856,2025
857,32370
858,1476
859,7004
860,6162
861,9435
862,10490
863,8995
864,2548
865,33037
866,7785
867,31178
868,34599
869,15719
870,34152
871,30654
872,31376
873,13335
874,30600
875,3478
876,20971
877,472
878,15959
879,9824
880,32949
881,32613
882,482
883,5228
884,35806
885,993
886,31559
887,32038
888,6974
889,14467
890,12355
891,18753
892,4080
893,2142
894,30514
895,34321
896,4094
897,665
898,24439
899,15751
900,7782
901,34437
902,32551
903,1796
904,3231
